epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,10006.7,1.03391,0.99519,1.34402,0.84605,0.80368,0.86226,0.65709,0.94281,0.75977,1.25656,0.003664,0.003664,0.003664
66,10160.1,1.02606,0.99312,1.33707,0.85792,0.79821,0.86302,0.6566,0.94268,0.75133,1.25815,0.003565,0.003565,0.003565
67,10314.4,1.02642,0.99657,1.34061,0.85441,0.79882,0.86127,0.65478,0.94019,0.75318,1.25944,0.003466,0.003466,0.003466
68,10467.5,1.0265,0.98873,1.33624,0.86949,0.78468,0.86131,0.65603,0.94083,0.75189,1.25709,0.003367,0.003367,0.003367
69,10621.6,1.02341,0.97503,1.32832,0.85671,0.80361,0.86232,0.65552,0.94195,0.74778,1.25628,0.003268,0.003268,0.003268
70,10775,1.01549,0.96903,1.32713,0.84961,0.80214,0.86287,0.65635,0.93781,0.74666,1.2526,0.003169,0.003169,0.003169
71,10929.4,1.0212,0.9598,1.32667,0.85515,0.80215,0.86454,0.65954,0.93585,0.74139,1.25044,0.00307,0.00307,0.00307
72,11082.8,1.00755,0.95618,1.31582,0.8518,0.80575,0.86361,0.6584,0.93561,0.73877,1.24945,0.002971,0.002971,0.002971
73,11236.6,1.00555,0.96168,1.32131,0.85292,0.80623,0.86454,0.65947,0.93431,0.73905,1.24957,0.002872,0.002872,0.002872
74,11390.7,1.00622,0.94148,1.32044,0.86524,0.79781,0.86682,0.66006,0.93607,0.73829,1.25125,0.002773,0.002773,0.002773
75,11544,1.00902,0.94954,1.31752,0.86664,0.791,0.86614,0.66215,0.93165,0.73652,1.24806,0.002674,0.002674,0.002674
76,11698.2,1.00028,0.93918,1.31861,0.8695,0.79148,0.86796,0.66279,0.92963,0.73158,1.248,0.002575,0.002575,0.002575
77,11851.5,0.99854,0.93374,1.31352,0.87832,0.78923,0.8706,0.66476,0.93004,0.72879,1.24814,0.002476,0.002476,0.002476
78,12006,0.98773,0.92462,1.30442,0.86683,0.79575,0.87042,0.66479,0.93294,0.72724,1.25136,0.002377,0.002377,0.002377
79,12159.4,0.98987,0.93339,1.31049,0.86624,0.79582,0.87034,0.66531,0.93295,0.72562,1.25082,0.002278,0.002278,0.002278
80,12312.5,0.99265,0.91817,1.311,0.8696,0.79559,0.8705,0.66474,0.93447,0.72594,1.2509,0.002179,0.002179,0.002179
81,12466.6,0.98709,0.91232,1.30657,0.86121,0.80375,0.8702,0.66273,0.93504,0.72488,1.25045,0.00208,0.00208,0.00208
82,12619.6,0.96818,0.89404,1.29535,0.85593,0.81013,0.87033,0.66425,0.93399,0.72466,1.24978,0.001981,0.001981,0.001981
83,12774,0.98955,0.90894,1.30248,0.85954,0.80842,0.87095,0.6648,0.93376,0.72354,1.24858,0.001882,0.001882,0.001882
84,12927.4,0.97883,0.89486,1.29572,0.85509,0.80901,0.87084,0.66497,0.93209,0.72303,1.24711,0.001783,0.001783,0.001783
85,13081.9,0.97946,0.89665,1.29949,0.8603,0.80306,0.87038,0.66589,0.93187,0.7232,1.24624,0.001684,0.001684,0.001684
86,13235.1,0.97137,0.88438,1.29213,0.85571,0.8105,0.87159,0.66628,0.93099,0.7193,1.24465,0.001585,0.001585,0.001585
87,13388.2,0.97263,0.88553,1.28977,0.86151,0.809,0.87197,0.66567,0.92975,0.71812,1.24282,0.001486,0.001486,0.001486
88,13542.1,0.96733,0.87426,1.28895,0.85357,0.81278,0.87158,0.66536,0.9274,0.71661,1.24168,0.001387,0.001387,0.001387
89,13695.3,0.96139,0.87419,1.28593,0.85433,0.81545,0.87224,0.66586,0.92642,0.71644,1.2414,0.001288,0.001288,0.001288
90,13849.4,0.95946,0.85879,1.28763,0.8558,0.81358,0.8731,0.66637,0.9277,0.71406,1.24236,0.001189,0.001189,0.001189
91,13993.4,0.86205,0.65689,1.21223,0.85502,0.81472,0.87217,0.6656,0.92764,0.71324,1.24318,0.00109,0.00109,0.00109
92,14137.8,0.85416,0.63336,1.20229,0.85493,0.81811,0.87207,0.66601,0.92796,0.71279,1.24428,0.000991,0.000991,0.000991
93,14282.5,0.8403,0.62408,1.19695,0.86609,0.80494,0.87218,0.66624,0.92709,0.71207,1.24396,0.000892,0.000892,0.000892
94,14426.1,0.83823,0.61987,1.19665,0.87065,0.80299,0.87293,0.66812,0.92603,0.7116,1.24395,0.000793,0.000793,0.000793
95,14571,0.83787,0.60926,1.1907,0.86957,0.80342,0.8728,0.66718,0.92583,0.7107,1.24397,0.000694,0.000694,0.000694
96,14715.1,0.83063,0.60618,1.1881,0.86712,0.80636,0.87366,0.66845,0.92501,0.70994,1.24371,0.000595,0.000595,0.000595
97,14859.5,0.82324,0.59924,1.184,0.86946,0.80467,0.87384,0.66874,0.92463,0.70983,1.24394,0.000496,0.000496,0.000496
98,15004.3,0.82314,0.59654,1.18835,0.86439,0.80772,0.87373,0.66923,0.92379,0.70942,1.24344,0.000397,0.000397,0.000397
99,15148.1,0.8161,0.58917,1.17588,0.86291,0.80878,0.87359,0.6692,0.9233,0.70953,1.24311,0.000298,0.000298,0.000298
100,15293.1,0.81888,0.58497,1.17562,0.87079,0.80177,0.87364,0.6694,0.92328,0.70953,1.24317,0.000199,0.000199,0.000199
