                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.2025,                 1.3584,                 1.5148,                0.84488,                0.79551,                0.85811,                0.65128,                0.95486,                0.82586,                 1.2887,               0.005545,               0.005545,               0.005545
                     48,                 1.2076,                 1.3583,                 1.5169,                0.84858,                0.79421,                0.85947,                0.65295,                0.94593,                0.80782,                 1.2813,               0.005446,               0.005446,               0.005446
                     49,                 1.1896,                 1.3233,                 1.5044,                0.86129,                0.79733,                0.86062,                0.65246,                0.94725,                0.80618,                 1.2817,               0.005347,               0.005347,               0.005347
                     50,                 1.1954,                  1.328,                  1.506,                0.86852,                0.78602,                0.86308,                0.65403,                0.94675,                0.80324,                 1.2794,               0.005248,               0.005248,               0.005248
                     51,                 1.1944,                 1.3278,                 1.5085,                0.86145,                 0.7885,                0.86329,                0.65857,                0.93925,                0.80653,                 1.2719,               0.005149,               0.005149,               0.005149
                     52,                 1.1847,                 1.3157,                 1.4991,                0.86396,                0.79591,                0.85938,                0.65468,                0.93734,                0.79325,                 1.2709,                0.00505,                0.00505,                0.00505
                     53,                 1.1777,                 1.2976,                  1.492,                0.85344,                0.80724,                0.86531,                0.65934,                0.93495,                0.78588,                 1.2695,               0.004951,               0.004951,               0.004951
                     54,                 1.1952,                 1.3142,                 1.5025,                0.84861,                0.80748,                0.86247,                0.66092,                0.92892,                0.78905,                 1.2637,               0.004852,               0.004852,               0.004852
                     55,                 1.1884,                 1.2977,                 1.4976,                0.86307,                0.79289,                 0.8643,                0.65949,                0.93346,                0.78392,                 1.2648,               0.004753,               0.004753,               0.004753
                     56,                 1.1781,                 1.2906,                 1.4898,                0.85672,                0.79246,                0.86378,                0.65856,                0.93695,                0.78502,                 1.2679,               0.004654,               0.004654,               0.004654
                     57,                 1.1698,                  1.281,                 1.4853,                0.87642,                0.79381,                 0.8681,                0.66409,                0.93169,                0.77233,                 1.2643,               0.004555,               0.004555,               0.004555
                     58,                 1.1679,                  1.267,                 1.4826,                 0.8636,                0.79637,                0.86691,                0.66324,                0.92935,                0.77018,                 1.2606,               0.004456,               0.004456,               0.004456
                     59,                 1.1646,                 1.2644,                 1.4799,                0.85947,                0.80487,                0.86587,                0.66531,                 0.9323,                 0.7694,                 1.2613,               0.004357,               0.004357,               0.004357
                     60,                  1.159,                 1.2533,                 1.4715,                0.86679,                0.79973,                 0.8654,                0.66185,                0.92652,                0.76291,                 1.2583,               0.004258,               0.004258,               0.004258
                     61,                 1.1613,                 1.2475,                 1.4772,                0.87871,                 0.7983,                0.86857,                0.66344,                0.92488,                0.76437,                 1.2569,               0.004159,               0.004159,               0.004159
                     62,                 1.1573,                 1.2457,                 1.4696,                0.87165,                0.80144,                0.86991,                0.66639,                0.91965,                0.75451,                  1.251,                0.00406,                0.00406,                0.00406
                     63,                  1.159,                 1.2435,                 1.4663,                0.88095,                0.80436,                0.87226,                0.66905,                0.92208,                0.75042,                 1.2512,               0.003961,               0.003961,               0.003961
                     64,                  1.145,                  1.228,                 1.4621,                0.87577,                0.80998,                0.87435,                0.66854,                0.91534,                0.74654,                 1.2459,               0.003862,               0.003862,               0.003862
                     65,                 1.1487,                 1.2272,                  1.462,                0.86152,                0.81559,                0.87414,                0.67006,                0.91392,                0.74982,                  1.245,               0.003763,               0.003763,               0.003763
                     66,                 1.1461,                 1.2227,                 1.4622,                0.85675,                0.81766,                0.87248,                0.66749,                0.91289,                0.74921,                 1.2469,               0.003664,               0.003664,               0.003664
                     67,                 1.1389,                  1.215,                 1.4567,                0.86163,                0.81751,                0.87397,                0.66796,                0.91474,                0.74317,                 1.2489,               0.003565,               0.003565,               0.003565
                     68,                 1.1371,                 1.2057,                 1.4541,                0.86563,                0.81224,                0.87476,                0.66975,                0.91349,                0.73769,                 1.2462,               0.003466,               0.003466,               0.003466
                     69,                 1.1355,                 1.1978,                 1.4495,                0.87064,                0.81296,                0.87517,                0.67026,                0.91452,                0.73753,                  1.246,               0.003367,               0.003367,               0.003367
                     70,                 1.1383,                 1.1969,                 1.4529,                0.87073,                0.80982,                0.87471,                0.67149,                0.91322,                0.73746,                 1.2446,               0.003268,               0.003268,               0.003268
                     71,                 1.1347,                 1.1981,                 1.4479,                0.86653,                0.80745,                0.87507,                 0.6713,                0.91347,                0.73453,                 1.2442,               0.003169,               0.003169,               0.003169
                     72,                 1.1345,                 1.1884,                 1.4459,                0.85016,                0.81728,                0.87641,                0.67316,                0.91159,                0.73209,                 1.2429,                0.00307,                0.00307,                0.00307
                     73,                 1.1304,                 1.1768,                 1.4393,                0.87623,                 0.8053,                0.87791,                 0.6737,                0.91326,                0.73028,                  1.243,               0.002971,               0.002971,               0.002971
                     74,                 1.1293,                 1.1766,                 1.4399,                0.86828,                0.81266,                0.87752,                 0.6745,                0.91197,                0.72909,                 1.2412,               0.002872,               0.002872,               0.002872
                     75,                 1.1128,                 1.1609,                 1.4289,                0.86618,                0.82208,                0.87876,                0.67485,                0.91017,                0.72641,                 1.2399,               0.002773,               0.002773,               0.002773
                     76,                 1.1248,                 1.1564,                 1.4382,                0.85857,                0.82576,                0.87809,                0.67513,                 0.9106,                0.72441,                  1.239,               0.002674,               0.002674,               0.002674
                     77,                 1.1068,                 1.1392,                 1.4264,                0.86693,                0.82319,                0.87948,                0.67495,                0.91006,                0.72286,                 1.2389,               0.002575,               0.002575,               0.002575
                     78,                 1.1133,                 1.1519,                 1.4262,                0.86449,                  0.821,                0.87951,                0.67673,                 0.9078,                0.72049,                 1.2376,               0.002476,               0.002476,               0.002476
